,id,name,selver_guess,price,selver_price,price/kg,selver_price_kg,similarity
5214,185412,Vahvlitorud täidisega Pralinee kg,"Piimavahvel Knoppers pähklitäidisega, STORCK, 25 g",3.4,0.45,16.99,18.0,59
3775,190073,Hommikusöögihelbed Lion Wildcrush 360g,"Hommikuhelbed Tresor Milk Choco, KELLOGG'S, 410g",3.99,2.99,11.08,7.29,59
13686,1370939,"Õlu Amigos 4,6% 0,33l pudel","Õlu Desperados, 330 ml pudel",1.79,2.19,5.42,6.64,59
12850,7046826,Vein Vini Salpitelli Rosso 1l,Zonin Ripasso Valpolicella 75 cl,5.19,9.99,5.19,13.32,59
12847,805236,Vein Bellissimo White Semi Sweet 1l,Dreamer Sweet White 100 cl,4.69,4.99,4.69,4.99,59
12878,7194092,"Kpn. vein Ruppertsberger Rose 0,75l","Vesi Perrier, PERRIER , 500 ml",8.49,0.99,11.32,1.98,59
7934,801220,Kassisööt Purrrfect veisel. konserv 820g,"Hautatud veiselihaga konserv, FRANK POTT, 240 g",1.75,1.79,2.13,7.46,59
7907,805808,Kassisööt Purrrfect kala lihaga 100g,"Classic (klaaspurk), NESCAFE, 100g",0.47,5.89,4.7,58.9,59
3723,811575,Suvikõrvitsapesto Selection by Rimi 130g,"Suvikõrvits roheline, kg",2.09,2.99,16.08,2.99,59
7973,7053538,Kiisueine Sheba Cusine tuunik Täiss. 85g,"Kiisueine lihaga kastmes, SHEBA, 4x85 g",0.99,2.89,11.65,8.5,59
7972,7191811,Koeraeine Cesar kana&köögiviljar. 4x100g,"Kana-köögivilja püreesupp, MAMMA, 300 g",2.99,2.59,7.47,8.63,59
7969,7245961,Kassisööt Sheba kana tarrendis 85g,"Pasteet kanalihaga, SHEBA, 85 g",0.99,0.89,11.65,10.47,59
13760,7252168,"Muu a.jook Franzini Aperitivo Spritz 11% 0,7l","Aperitivo Spritz&Roll Originale, 75 cl",10.59,4.99,15.13,6.65,59
3685,805052,Külmsupp Rimi 490g,"Kalasupp tomatiga, SELVERI KÖÖK, 400 g",1.79,3.99,3.65,9.98,59
3690,807897,Purustatud kookospähkel I Love Eco 200g,"Kookoskreem, THAI CHOICE, 400 ml",2.75,1.99,13.75,4.98,59
13758,7247535,"Gin Finsbury Pink metsmaasika 37,5% 0,7l","Liköör LIVIKO Metsmaasika, 50 cl",19.99,5.99,28.56,11.98,59
5319,813588,Mandlid valge šok. ja kaneeliga Rimi 100g,"Valge šokolaad õhitud riisi ja mustikaga, KALEV, 200 g",1.89,2.29,18.9,11.45,59
7948,7171696,Koeramaius PrimaDog kanatükid 50g,"Täispiimajogurt ahjuõuna, ALMA, 350g",3.19,1.09,63.8,3.11,59
10453,7233522,Käärid Centrum 20cm,"Liköör COINTREAU, 50 cl",1.69,20.9,1.69,41.8,59
5318,1007287,Küpsised Bounty 180g,"Küpsised Golden, OREO, 154 g",3.89,1.59,21.61,10.32,59
12101,768266,Sääse- ja puugitõrjevahend Maga 100ml,"Koitõrjevahend, KAPO, 400 ml",2.79,8.49,27.9,21.22,59
9717,401351,Püsivärv L'oreal Excellence Crème N°5,Carmen Reserva Carmenere 75 cl,9.59,8.99,9.59,11.99,59
5272,1004863,Šok.assortii tumeda šok. Tallinn Pergale 348g,"Assortii Tallinna siluett, KALEV, 186 g",5.69,3.79,16.35,20.38,59
3722,803448,Pipar ja sidrun Selection by Rimi 35g,"Lõheliblikas sidruni-pipramarinaadis, SELVER, kg",3.09,24.9,88.29,24.9,59
12846,805194,Vein Bellissimo Red Semi Sweet 1l,Baron Rosen Riesling Semi-Sweet 100 cl,4.69,4.49,4.69,4.49,59
3799,810315,Meresool ICA 200g,"Karri 0% soola, MEIRA, 25 g",3.09,0.85,15.45,34.0,59
12245,7169943,L.skp.Bellissima Luna 15 natur 10/12 2pr,"Naiste sukkpüksid Basic 20 den, Bellissima, miele 5",4.49,3.49,4.49,3.49,59
12801,7187995,"Vahuvein Cielo Cuvee Privee 0,75l",Ruffino Rosatello Prima Cuvee 75 cl,8.69,11.99,11.59,15.99,59
100,904982,Maasuitsuliha kg Rebaseonu,"Maasuitsu külg, RANNAROOTSI, kg",9.59,14.99,15.99,14.99,59
7872,7249969,"Koerte kuivtoit NOOD kanaga 1,4 kg","Koera kuivtoit looma- ja linnulihaga, CHAPPI, 9 kg",6.59,22.99,4.71,2.55,59
12194,7056566,Termos ICA C&E 0.25l,"Termos 750ml, DAY, 1 tk",11.49,15.99,11.49,15.99,59
9251,696369,Habemeaja.geel Gi.Fusion Hyd.sens. 200 m,"Habemeajamisvaht Sensitive, GILLETTE, 300 ml",6.99,3.69,34.95,12.3,59
